adj,miss_data,weight,size,method,raw_bias,per_bias,cov_rate,avg_wide,rmse
Unadjusted,MCAR,Unweighted,5000,Complete case,-0.149778740262408,71.595458649896,0,0.0621343333346345,0.150614441180444
Unadjusted,MCAR,Unweighted,5000,Imputed,-0.1498947751576,71.6509242755658,0,0.0645510812317029,0.150760402885609
Unadjusted,MCAR,Unweighted,5000,Imputed w/ PRS,-0.149887489587009,71.6474417134405,0,0.0639074515825897,0.15073795600033
Unadjusted,MCAR,Weighted,5000,Complete case,-0.00490311887876971,2.34373078799747,0.88,0.145235650072972,0.047062263351207
Unadjusted,MCAR,Weighted,5000,Imputed,-0.0415457525070081,19.8592083261156,0.695,0.153026639929262,0.059069519974027
Unadjusted,MCAR,Weighted,5000,Imputed w/ PRS,-0.0377910221768968,18.0644166245695,0.713,0.151410411639662,0.0562617925842769
Adjusted,MCAR,Unweighted,5000,Complete case,-0.121943475902384,61.5150345807669,0,0.0615106582985335,0.122927095406726
Adjusted,MCAR,Unweighted,5000,Imputed,-0.122064885799106,61.576280448494,0,0.0639679849896594,0.123087019020707
Adjusted,MCAR,Unweighted,5000,Imputed w/ PRS,-0.122077341866612,61.5825639779547,0,0.0633960090807823,0.123080140095999
Adjusted,MCAR,Weighted,5000,Complete case,-0.00504639891837366,2.54568275731782,0.881,0.121135523423479,0.0381510535491953
Adjusted,MCAR,Weighted,5000,Imputed,-0.0322751333441479,16.2813625663208,0.759,0.127548693580887,0.0472480120513027
Adjusted,MCAR,Weighted,5000,Imputed w/ PRS,-0.0294291658824654,14.8456991532057,0.781,0.126084696364915,0.045250868755262
Unadjusted,MAR,Unweighted,5000,Complete case,-0.161312125217605,77.1085106638631,0,0.059172333450091,0.162032081829783
Unadjusted,MAR,Unweighted,5000,Imputed,-0.167401279190905,80.0191758940852,0,0.0707467873451358,0.168324136214765
Unadjusted,MAR,Unweighted,5000,Imputed w/ PRS,-0.165875254412278,79.2897236117021,0,0.0696201589240419,0.1667936592491
Unadjusted,MAR,Weighted,5000,Complete case,-0.0265447148193217,12.6885900421545,0.726,0.141955137373887,0.0524731412554829
Unadjusted,MAR,Weighted,5000,Imputed,-0.00920828223524603,4.40163396257109,0.857,0.136942191102412,0.0444672964022273
Unadjusted,MAR,Weighted,5000,Imputed w/ PRS,-0.00830348832053416,3.96913509661762,0.86,0.136537819115065,0.044060629818209
Adjusted,MAR,Unweighted,5000,Complete case,-0.142749929241671,72.0109605595694,0,0.0588848114210994,0.143539974984884
Adjusted,MAR,Unweighted,5000,Imputed,-0.137315738949557,69.2696543825549,0,0.0692788129615169,0.138380955862797
Adjusted,MAR,Unweighted,5000,Imputed w/ PRS,-0.135842544531792,68.5264936280956,0,0.0680654411004999,0.136896766029326
Adjusted,MAR,Weighted,5000,Complete case,-0.0196518503684449,9.91348037314155,0.786,0.123117248573478,0.04333366236362
Adjusted,MAR,Weighted,5000,Imputed,-0.00827058052385988,4.17213830558286,0.874,0.114585203937381,0.0364754698108969
Adjusted,MAR,Weighted,5000,Imputed w/ PRS,-0.00740624169015651,3.73611798673181,0.877,0.114144850760337,0.0360812705753772
Unadjusted,MNAR,Unweighted,5000,Complete case,-0.235344733764495,112.496700968286,0,0.0610172997725829,0.235874342735538
Unadjusted,MNAR,Unweighted,5000,Imputed,-0.26131245012185,124.909481042668,0,0.0724425972566531,0.26199043419503
Unadjusted,MNAR,Unweighted,5000,Imputed w/ PRS,-0.252524466328211,120.70875316092,0,0.0712727153035107,0.253144228341054
Unadjusted,MNAR,Weighted,5000,Complete case,-0.0842179082002563,40.2568465562501,0.328,0.152213848996054,0.0974925773738058
Unadjusted,MNAR,Weighted,5000,Imputed,-0.0864379850128399,41.3180613678879,0.32,0.149936634640473,0.0990841413519084
Unadjusted,MNAR,Weighted,5000,Imputed w/ PRS,-0.0788073546242277,37.6705578470051,0.35,0.148663116898577,0.0921971910062848
Adjusted,MNAR,Unweighted,5000,Complete case,-0.219927925196587,110.943810840477,0,0.0616281586294687,0.220504363812308
Adjusted,MNAR,Unweighted,5000,Imputed,-0.22275143830376,112.368147035109,0,0.0734054976329991,0.2235424201538
Adjusted,MNAR,Unweighted,5000,Imputed w/ PRS,-0.214454530732716,108.182727910639,0,0.0719254990255616,0.21518501700164
Adjusted,MNAR,Weighted,5000,Complete case,-0.0691381766129877,34.8771206801065,0.367,0.13310085374807,0.0810912570640658
Adjusted,MNAR,Weighted,5000,Imputed,-0.0639854712132524,32.2778110532187,0.393,0.125379564572309,0.075331872318786
Adjusted,MNAR,Weighted,5000,Imputed w/ PRS,-0.0585104636761543,29.5159144000172,0.42,0.124239413482115,0.0704090751253296
