adj,miss_data,weight,size,method,raw_bias,per_bias,cov_rate,avg_wide,rmse
Unadjusted,MCAR,Unweighted,10000,Complete case,-0.148474015013958,70.9717893466877,0,0.050714025458131,0.149024595613947
Unadjusted,MCAR,Unweighted,10000,Imputed,-0.148109215631573,70.7974122685304,0,0.0563630609190925,0.148697191421352
Unadjusted,MCAR,Unweighted,10000,Imputed w/ PRS,-0.148210949822648,70.8460420410712,0,0.0552269325013506,0.148783109290911
Unadjusted,MCAR,Weighted,10000,Complete case,-0.00221510816387312,1.05883975705615,0.877,0.127429534484822,0.0437401545716794
Unadjusted,MCAR,Weighted,10000,Imputed,-0.0626973210442398,29.9698304874097,0.367,0.124563574097965,0.071402743189893
Unadjusted,MCAR,Weighted,10000,Imputed w/ PRS,-0.0598663849758412,28.61661997255,0.391,0.122925674641209,0.0684747545555242
Adjusted,MCAR,Unweighted,10000,Complete case,-0.120652283623719,60.8636857727661,0,0.0501851476869233,0.121302921132347
Adjusted,MCAR,Unweighted,10000,Imputed,-0.120314494285364,60.6932861455931,0,0.0563235782666527,0.121018472449781
Adjusted,MCAR,Unweighted,10000,Imputed w/ PRS,-0.120444357390154,60.7587962790611,0,0.0552030404953883,0.121132782606474
Adjusted,MCAR,Weighted,10000,Complete case,-0.00313313608604261,1.58052715205071,0.884,0.1054590951548,0.0339955675501727
Adjusted,MCAR,Weighted,10000,Imputed,-0.0533650872799667,26.9203019279247,0.412,0.109869155136963,0.06060435298551
Adjusted,MCAR,Weighted,10000,Imputed w/ PRS,-0.0510986783672621,25.7769999053484,0.436,0.108340521065953,0.0581959939076392
Unadjusted,MAR,Unweighted,10000,Complete case,-0.164666434988957,78.7118980746067,0,0.0477963692577328,0.165122282468937
Unadjusted,MAR,Unweighted,10000,Imputed,-0.169513947071958,81.0290483609916,0,0.0597866642716231,0.170117183835171
Unadjusted,MAR,Unweighted,10000,Imputed w/ PRS,-0.168609583054106,80.5967549892408,0,0.0577322164410475,0.169180593706326
Unadjusted,MAR,Weighted,10000,Complete case,-0.0234110131428214,11.1906550988647,0.708,0.128703874049797,0.0496341469283527
Unadjusted,MAR,Weighted,10000,Imputed,-0.033306244818946,15.9206564933078,0.611,0.117295166344227,0.050468684980306
Unadjusted,MAR,Weighted,10000,Imputed w/ PRS,-0.0323321291484261,15.4550212630559,0.62,0.116197157071454,0.0496000304845505
Adjusted,MAR,Unweighted,10000,Complete case,-0.144991485972246,73.1417257667746,0,0.0475846841126436,0.145503159504211
Adjusted,MAR,Unweighted,10000,Imputed,-0.139556583637226,70.4000603959315,0,0.0597369795269501,0.140277355919263
Adjusted,MAR,Unweighted,10000,Imputed w/ PRS,-0.138988870286959,70.1136743788426,0,0.0572454146924611,0.139655819257482
Adjusted,MAR,Weighted,10000,Complete case,-0.0170987638624981,8.62556231488699,0.78,0.111000614398699,0.0399844704840167
Adjusted,MAR,Weighted,10000,Imputed,-0.0337487182818203,17.0247203206231,0.58,0.0989600499469057,0.0453427383426602
Adjusted,MAR,Weighted,10000,Imputed w/ PRS,-0.0327780894647641,16.5350814547104,0.588,0.097701529465618,0.0443650920197094
Unadjusted,MNAR,Unweighted,10000,Complete case,-0.220527100533181,105.413751509349,0,0.0496027296122239,0.220871889639111
Unadjusted,MNAR,Unweighted,10000,Imputed,-0.228735321890208,109.337348220916,0,0.0626699455142277,0.229196314907348
Unadjusted,MNAR,Unweighted,10000,Imputed w/ PRS,-0.223918264338836,107.034755448876,0,0.0571504245943286,0.224316285969124
Unadjusted,MNAR,Weighted,10000,Complete case,-0.0798162315436568,38.1528092375648,0.297,0.134662526751742,0.0920492681706342
Unadjusted,MNAR,Weighted,10000,Imputed,-0.11055154229827,52.8445382931595,0.125,0.117241050086693,0.117549064371319
Unadjusted,MNAR,Weighted,10000,Imputed w/ PRS,-0.104353199029123,49.8816796895513,0.145,0.115972192610772,0.111677615574045
Adjusted,MNAR,Unweighted,10000,Complete case,-0.220110086828106,111.035703243734,0,0.0495131254209949,0.220462756323893
Adjusted,MNAR,Unweighted,10000,Imputed,-0.224578397682756,113.289766404615,0,0.0633712291388727,0.225075236101119
Adjusted,MNAR,Unweighted,10000,Imputed w/ PRS,-0.217340554841094,109.638598112091,0,0.0582142192410901,0.217780634584976
Adjusted,MNAR,Weighted,10000,Complete case,-0.0702053859669913,35.4154801112334,0.31,0.121210911412004,0.0808353389605613
Adjusted,MNAR,Weighted,10000,Imputed,-0.093098218917725,46.9638913746897,0.15,0.104611732619026,0.0992193568637162
Adjusted,MNAR,Weighted,10000,Imputed w/ PRS,-0.0880953705347105,44.4401779164164,0.16,0.102876706774824,0.0944379519369376
