adj,miss_data,weight,size,method,raw_bias,per_bias,cov_rate,avg_wide,rmse
Unadjusted,MCAR,Unweighted,10000,Complete case,-0.15884583962769,77.8638723720398,0,0.0437341332914598,0.159156942384859
Unadjusted,MCAR,Unweighted,10000,Imputed,-0.158973741530301,77.9265679858776,0,0.0459953708261289,0.159274094560808
Unadjusted,MCAR,Unweighted,10000,Imputed w/ PRS,-0.159930738470518,78.3956736784668,0,0.0447706517454901,0.160165536346233
Unadjusted,MCAR,Weighted,10000,Complete case,-0.0139966764997788,6.86096302657917,0.76,0.108890379772159,0.0349786207434828
Unadjusted,MCAR,Weighted,10000,Imputed,-0.0539007394958939,26.4213422945403,0.4,0.117631684085248,0.0615843389105224
Unadjusted,MCAR,Weighted,10000,Imputed w/ PRS,-0.050248967289804,24.631297773052,0.48,0.114451410096754,0.0573198415095081
Adjusted,MCAR,Unweighted,10000,Complete case,-0.131275109180032,67.3835049173602,0,0.0434739481453442,0.131624993662286
Adjusted,MCAR,Unweighted,10000,Imputed,-0.13139408951067,67.44457751326,0,0.0455696854848295,0.131753600862494
Adjusted,MCAR,Unweighted,10000,Imputed w/ PRS,-0.132279097416776,67.8988520133194,0,0.0442829883771534,0.132544295403981
Adjusted,MCAR,Weighted,10000,Complete case,-0.00723731959150098,3.71491567082692,0.84,0.0950837830541558,0.0301497455076367
Adjusted,MCAR,Weighted,10000,Imputed,-0.0380904405348774,19.5518206240178,0.64,0.101779566042728,0.0470406695125533
Adjusted,MCAR,Weighted,10000,Imputed w/ PRS,-0.0352823581749092,18.1104321331366,0.68,0.0978974790983212,0.0435038404024957
Unadjusted,MAR,Unweighted,10000,Complete case,-0.163626570473037,80.2073156580563,0,0.0429921925179623,0.163985366432671
Unadjusted,MAR,Unweighted,10000,Imputed,-0.193152573957099,94.6805242251045,0,0.0650866139802474,0.193754990417588
Unadjusted,MAR,Unweighted,10000,Imputed w/ PRS,-0.190999249018994,93.6249963085463,0,0.067551108581672,0.191707186721441
Unadjusted,MAR,Weighted,10000,Complete case,-0.0620356607191851,30.4089599077656,0.32,0.109450562596912,0.0686254280425858
Unadjusted,MAR,Weighted,10000,Imputed,-0.0109059684293357,5.34594381486878,0.88,0.10468000281219,0.0307737691675765
Unadjusted,MAR,Weighted,10000,Imputed w/ PRS,-0.0111113755857823,5.44663135349964,0.88,0.105643320541029,0.0320751142940318
Adjusted,MAR,Unweighted,10000,Complete case,-0.170391296022827,87.4618410538409,0,0.0426340105299386,0.170740872537975
Adjusted,MAR,Unweighted,10000,Imputed,-0.162483773047168,83.4029100299581,0,0.0636118988208972,0.163143096145598
Adjusted,MAR,Unweighted,10000,Imputed w/ PRS,-0.159947710357843,82.1011492181464,0,0.0652901424085399,0.160733771773598
Adjusted,MAR,Weighted,10000,Complete case,-0.050637596786047,25.9922751033973,0.4,0.104735204738903,0.058378031155143
Adjusted,MAR,Weighted,10000,Imputed,-0.00816126060802563,4.18917453390627,0.88,0.0911632856442312,0.027223298600614
Adjusted,MAR,Weighted,10000,Imputed w/ PRS,-0.00766508597547451,3.93448812761635,0.88,0.0916656631582062,0.0277118799063631
Unadjusted,MNAR,Unweighted,10000,Complete case,-0.264536515018136,129.671872372575,0,0.0448702972309332,0.264863855547738
Unadjusted,MNAR,Unweighted,10000,Imputed,-0.36321516300584,178.042680640321,0,0.0639760440138091,0.363874791555156
Unadjusted,MNAR,Unweighted,10000,Imputed w/ PRS,-0.347394509539209,170.287631183216,0,0.0651956439665512,0.34784125002548
Unadjusted,MNAR,Weighted,10000,Complete case,-0.141926871451251,69.5704453496856,0.08,0.120307914166867,0.145387071833175
Unadjusted,MNAR,Weighted,10000,Imputed,-0.170084190515734,83.3727451336425,0.04,0.12254389726899,0.173442898203251
Unadjusted,MNAR,Weighted,10000,Imputed w/ PRS,-0.153269406444445,75.1303876129232,0.08,0.121326064514729,0.156656911347849
Adjusted,MNAR,Unweighted,10000,Complete case,-0.290851807293398,149.294213574792,0,0.0454701218027051,0.291130929842674
Adjusted,MNAR,Unweighted,10000,Imputed,-0.32754123433489,168.126894064701,0,0.0708469105660215,0.328292409446412
Adjusted,MNAR,Unweighted,10000,Imputed w/ PRS,-0.310423187153291,159.340201571039,0,0.0701448317810569,0.310943110415432
Adjusted,MNAR,Weighted,10000,Complete case,-0.126570918243177,64.9688440185374,0.12,0.118801352204331,0.130742163896418
Adjusted,MNAR,Weighted,10000,Imputed,-0.122099277207746,62.6735509688366,0.08,0.108945325508203,0.126012778256873
Adjusted,MNAR,Weighted,10000,Imputed w/ PRS,-0.110102156500892,56.515429698217,0.12,0.106605760658131,0.114120163322344
