adj,miss_data,weight,size,method,raw_bias,per_bias,cov_rate,avg_wide,rmse
Unadjusted,MCAR,Unweighted,10000,Complete case,-0.148621879340918,71.0424697001755,0,0.0439260907239155,0.149026911285998
Unadjusted,MCAR,Unweighted,10000,Imputed,-0.148764012252736,71.1104103905096,0,0.0459487021134359,0.149182608985273
Unadjusted,MCAR,Unweighted,10000,Imputed w/ PRS,-0.148583407155806,71.0240796821158,0,0.0450332231876622,0.1489942695226
Unadjusted,MCAR,Weighted,10000,Complete case,-0.0010078152001858,0.48174388010759,0.884,0.116597676113721,0.0410668495024406
Unadjusted,MCAR,Weighted,10000,Imputed,-0.0377143318562153,18.0277580262025,0.604,0.120378114816856,0.0523455149266795
Unadjusted,MCAR,Weighted,10000,Imputed w/ PRS,-0.0343781335110687,16.4330280248062,0.626,0.118634961706739,0.049857295908921
Adjusted,MCAR,Unweighted,10000,Complete case,-0.120853256731327,60.9650677251239,0,0.0434641675602677,0.121330526512065
Adjusted,MCAR,Unweighted,10000,Imputed,-0.120973510106867,61.0257301795935,0,0.0454630291655364,0.121468482938978
Adjusted,MCAR,Unweighted,10000,Imputed w/ PRS,-0.120805471352872,60.9409621369706,0,0.0445938074196171,0.121292633131452
Adjusted,MCAR,Weighted,10000,Complete case,-0.00191631728897647,0.966696442157134,0.893,0.0963924354772324,0.0320539679827688
Adjusted,MCAR,Weighted,10000,Imputed,-0.0293062995531968,14.7837185803391,0.661,0.0997075101063681,0.0411040309514237
Adjusted,MCAR,Weighted,10000,Imputed w/ PRS,-0.0266842841811441,13.4610289892024,0.694,0.0983265607176264,0.0390737790675537
Unadjusted,MAR,Unweighted,10000,Complete case,-0.160556897637633,76.7475057249887,0,0.041813403260598,0.160900443868047
Unadjusted,MAR,Unweighted,10000,Imputed,-0.166328326675633,79.5062958464504,0,0.050358834954696,0.166767912802259
Unadjusted,MAR,Unweighted,10000,Imputed w/ PRS,-0.164627166748671,78.6931275356859,0,0.048756758717757,0.16505537865136
Unadjusted,MAR,Weighted,10000,Complete case,-0.0238411805284957,11.3962786153906,0.67,0.113343531721355,0.0452700526673691
Unadjusted,MAR,Weighted,10000,Imputed,-0.00617141622556863,2.94998725730298,0.844,0.108562534670603,0.0370431959592874
Unadjusted,MAR,Weighted,10000,Imputed w/ PRS,-0.00513833680165482,2.45616687233181,0.857,0.108140147057992,0.0367886423729531
Adjusted,MAR,Unweighted,10000,Complete case,-0.141906651263893,71.5855645014344,0,0.0415918864199466,0.142290112640434
Adjusted,MAR,Unweighted,10000,Imputed,-0.136315819346897,68.765239624156,0,0.0492193237044856,0.136827914701635
Adjusted,MAR,Unweighted,10000,Imputed w/ PRS,-0.134707833957404,67.9540828475589,0,0.047731106960271,0.135199782857552
Adjusted,MAR,Weighted,10000,Complete case,-0.0171061704966162,8.6292986308361,0.752,0.0980417454818748,0.0362033867326758
Adjusted,MAR,Weighted,10000,Imputed,-0.00583701320027898,2.94451233414886,0.87,0.0902103975924069,0.0294702226637615
Adjusted,MAR,Weighted,10000,Imputed w/ PRS,-0.00488042988088132,2.4619587941855,0.873,0.0898431608657081,0.0292712145337222
Unadjusted,MNAR,Unweighted,10000,Complete case,-0.234666623844322,112.17255889936,0,0.0431016834438149,0.234910024295141
Unadjusted,MNAR,Unweighted,10000,Imputed,-0.260866867919616,124.696489118185,0,0.0512494165034622,0.26118136347928
Unadjusted,MNAR,Unweighted,10000,Imputed w/ PRS,-0.251672413244303,120.301464841966,0,0.0508318964914437,0.25197177446485
Unadjusted,MNAR,Weighted,10000,Complete case,-0.0808793232938852,38.6609757591364,0.253,0.121893987372554,0.090914637052753
Unadjusted,MNAR,Weighted,10000,Imputed,-0.0828150041073398,39.5862469651586,0.231,0.119180112939055,0.092279101800463
Unadjusted,MNAR,Weighted,10000,Imputed w/ PRS,-0.0750555876101847,35.8771826346928,0.269,0.118203640181509,0.0851522271194067
Adjusted,MNAR,Unweighted,10000,Complete case,-0.219043795046487,110.497806686873,0,0.0435103524755634,0.219313602310871
Adjusted,MNAR,Unweighted,10000,Imputed,-0.222072436971099,112.025621203777,0,0.052034329633971,0.222438082109813
Adjusted,MNAR,Unweighted,10000,Imputed w/ PRS,-0.213504163196668,107.703309955625,0,0.0511927913499203,0.213854251314388
Adjusted,MNAR,Weighted,10000,Complete case,-0.0658818616004812,33.2344552638725,0.276,0.106555187500497,0.0745704071703238
Adjusted,MNAR,Weighted,10000,Imputed,-0.0609097425139097,30.7262433625242,0.28,0.0993916693147713,0.0690289086793275
Adjusted,MNAR,Weighted,10000,Imputed w/ PRS,-0.0554375156897199,27.9657494547295,0.314,0.0984389742513275,0.0640441866382464
