adj,miss_data,weight,size,method,raw_bias,per_bias,cov_rate,avg_wide,rmse
Unadjusted,MCAR,Unweighted,2500,Complete case,-0.16067291070322173,79.1500007076444,0,0.08763404434263435,0.1622325448740341
Unadjusted,MCAR,Unweighted,2500,Imputed,-0.1609692746279059,79.29599423415615,0,0.0921569989293393,0.16261319931053372
Unadjusted,MCAR,Unweighted,2500,Imputed w/ PRS,-0.16106696425305356,79.34411767864798,0,0.09067907689840435,0.16269235896079562
Unadjusted,MCAR,Weighted,2500,Complete case,-0.011070627848173328,5.4535652474453915,0.841,0.20643013031428445,0.0709875849693786
Unadjusted,MCAR,Weighted,2500,Imputed,-0.05143462544980745,25.337504766247157,0.759,0.22829411668360322,0.08153984564621214
Unadjusted,MCAR,Weighted,2500,Imputed w/ PRS,-0.04788295975980379,23.587898434683577,0.761,0.2251170600418278,0.07942077262752192
Adjusted,MCAR,Unweighted,2500,Complete case,-0.133791193201075,69.02379476871438,0,0.0872357934786521,0.13563497870129643
Adjusted,MCAR,Unweighted,2500,Imputed,-0.13396925960536124,69.11566044873851,0,0.09209688753663989,0.13590540292398992
Adjusted,MCAR,Unweighted,2500,Imputed w/ PRS,-0.1341080660328649,69.18727163730301,0,0.09049985037447436,0.1360329395896724
Adjusted,MCAR,Weighted,2500,Complete case,-0.011590923604749215,5.979837035100369,0.846,0.1702429292251617,0.057610938906308744
Adjusted,MCAR,Weighted,2500,Imputed,-0.041113693642074275,21.210836709329314,0.8,0.18807404392316202,0.06593150271871391
Adjusted,MCAR,Weighted,2500,Imputed w/ PRS,-0.03832146110019752,19.770304778147775,0.79,0.1851808630151512,0.06438782562304365
Unadjusted,MAR,Unweighted,2500,Complete case,-0.1634822160081276,80.5339086476829,0,0.08617947671340388,0.16496516840852785
Unadjusted,MAR,Unweighted,2500,Imputed,-0.19284376620734023,94.99786967803858,0.003,0.1347855201224299,0.1953409585556056
Unadjusted,MAR,Unweighted,2500,Imputed w/ PRS,-0.19125093627353282,94.2132166221113,0.001,0.13137566511765697,0.19375674124467948
Unadjusted,MAR,Weighted,2500,Complete case,-0.054384870319037215,26.790841750467095,0.618,0.20616194459709525,0.08869348762984279
Unadjusted,MAR,Weighted,2500,Imputed,-0.0038925946227920507,1.9175532813845124,0.868,0.2035744969317671,0.06924043971219253
Unadjusted,MAR,Weighted,2500,Imputed w/ PRS,-0.004129572942363709,2.034292525602468,0.865,0.20301174921666565,0.06874637545169796
Adjusted,MAR,Unweighted,2500,Complete case,-0.17093138728670482,88.18467578712311,0,0.08551008532100397,0.1723256181782089
Adjusted,MAR,Unweighted,2500,Imputed,-0.16317896298304968,84.18514688471411,0.005,0.13074965306263386,0.16596250843135232
Adjusted,MAR,Unweighted,2500,Imputed w/ PRS,-0.16124228633758722,83.18600211209174,0.005,0.12738311045481035,0.16402046786034982
Adjusted,MAR,Weighted,2500,Complete case,-0.0470420829040867,24.269333415575208,0.664,0.1833188012031846,0.07865961872293314
Adjusted,MAR,Weighted,2500,Imputed,-0.006268215629016114,3.2338154611792476,0.867,0.16947794499600935,0.05746021446488553
Adjusted,MAR,Weighted,2500,Imputed w/ PRS,-0.005791465925624035,2.9878570173112404,0.864,0.16902643081288765,0.05678800580376892
Unadjusted,MNAR,Unweighted,2500,Complete case,-0.26620847516077406,131.13847819857605,0,0.09031669392884957,0.26722418924075164
Unadjusted,MNAR,Unweighted,2500,Imputed,-0.3663196399376425,180.45481116504766,0,0.12569425605504295,0.36814649436843644
Unadjusted,MNAR,Unweighted,2500,Imputed w/ PRS,-0.35030919798586174,172.5678158634325,0,0.12812136655424095,0.35175748957378034
Unadjusted,MNAR,Weighted,2500,Complete case,-0.13515617721772452,66.5800568098559,0.318,0.2236180135851811,0.15551247616492164
Unadjusted,MNAR,Weighted,2500,Imputed,-0.16530035858215847,81.42955425086085,0.239,0.2322797907407124,0.1843027937741674
Unadjusted,MNAR,Weighted,2500,Imputed w/ PRS,-0.1483541670592858,73.0815940056846,0.286,0.22980877008132933,0.168413571439667
Adjusted,MNAR,Unweighted,2500,Complete case,-0.2932631491816522,151.29647130001518,0,0.09153878458682012,0.2942144367168339
Adjusted,MNAR,Unweighted,2500,Imputed,-0.33366763805098565,172.14142439988237,0,0.14008393422738907,0.3360551893507171
Adjusted,MNAR,Unweighted,2500,Imputed w/ PRS,-0.3153431807889702,162.687711139395,0,0.13877092710878386,0.31720370383662433
Adjusted,MNAR,Weighted,2500,Complete case,-0.1243838196907421,64.17046621282076,0.35,0.2024700801537799,0.14324778198479501
Adjusted,MNAR,Weighted,2500,Imputed,-0.12301365352800792,63.46358808614566,0.324,0.194617259468035,0.14045428341911717
Adjusted,MNAR,Weighted,2500,Imputed w/ PRS,-0.11087043047910433,57.198815977427316,0.369,0.19136599766693965,0.12908524043427794
