adj,miss_data,weight,size,method,raw_bias,per_bias,cov_rate,avg_wide,rmse
Unadjusted,MCAR,Unweighted,5000,Complete case,-0.15963205436857,78.249263165934,0,0.0620683996559874,0.160133622191069
Unadjusted,MCAR,Unweighted,5000,Imputed,-0.159977403701006,78.4185482816637,0,0.0663411216476501,0.160507404686087
Unadjusted,MCAR,Unweighted,5000,Imputed w/ PRS,-0.160907110220234,78.874276615036,0,0.0631229157922188,0.161444373359113
Unadjusted,MCAR,Weighted,5000,Complete case,-0.00966976421340491,4.73997486081485,0.88,0.145805822924154,0.0470036922010052
Unadjusted,MCAR,Weighted,5000,Imputed,-0.0497871598359848,24.4049266151488,0.56,0.1487090220252,0.0647341132710101
Unadjusted,MCAR,Weighted,5000,Imputed w/ PRS,-0.0474117425115285,23.2405323079682,0.68,0.152718980442612,0.0635457888196291
Adjusted,MCAR,Unweighted,5000,Complete case,-0.132674479074253,68.1018013921255,0,0.0616730218345641,0.1333358057613
Adjusted,MCAR,Unweighted,5000,Imputed,-0.132861888506575,68.197998641424,0,0.0666349180355866,0.133553011098998
Adjusted,MCAR,Unweighted,5000,Imputed w/ PRS,-0.133894492684773,68.7280342982507,0,0.0626542294742972,0.134623960045825
Adjusted,MCAR,Weighted,5000,Complete case,-0.00726450118236975,3.72886797963403,0.88,0.127268391089839,0.0401145011808036
Adjusted,MCAR,Weighted,5000,Imputed,-0.0372558565163784,19.1234287021543,0.64,0.12881332388812,0.0515198808164712
Adjusted,MCAR,Weighted,5000,Imputed w/ PRS,-0.0357804610799684,18.3661083215782,0.68,0.131630024129989,0.0507645312733718
Unadjusted,MAR,Unweighted,5000,Complete case,-0.163485515894941,80.1381727979594,0,0.0610751783120432,0.163981970081562
Unadjusted,MAR,Unweighted,5000,Imputed,-0.188759760425501,92.5272322472959,0,0.0954945362146161,0.189612806328074
Unadjusted,MAR,Unweighted,5000,Imputed w/ PRS,-0.187455577423687,91.8879411016103,0,0.0993931338692352,0.18824346380238
Unadjusted,MAR,Weighted,5000,Complete case,-0.0598361288656839,29.3307820472647,0.44,0.142065094890665,0.0747365535569838
Unadjusted,MAR,Weighted,5000,Imputed,-0.0055645597945939,2.72766460027143,0.88,0.139055190217983,0.0456543743088826
Unadjusted,MAR,Weighted,5000,Imputed w/ PRS,-0.00582287850832482,2.85428859876203,0.88,0.140359659085536,0.0449241765345885
Adjusted,MAR,Unweighted,5000,Complete case,-0.170423530611744,87.4783870662142,0,0.0605276541215888,0.170845807455873
Adjusted,MAR,Unweighted,5000,Imputed,-0.159971677592617,82.1134515981809,0,0.0911400477091941,0.160820249870396
Adjusted,MAR,Unweighted,5000,Imputed w/ PRS,-0.157951973455819,81.0767375974566,0,0.0953799471555329,0.15875050942927
Adjusted,MAR,Weighted,5000,Complete case,-0.0497342161902207,25.5285699029116,0.56,0.136158996031124,0.0657837365944402
Adjusted,MAR,Weighted,5000,Imputed,-0.00479019422457922,2.45880638076165,0.92,0.12219507536955,0.0368090160190737
Adjusted,MAR,Weighted,5000,Imputed w/ PRS,-0.00405689907438135,2.08240602834244,0.92,0.123031016612939,0.0358346964479471
Unadjusted,MNAR,Unweighted,5000,Complete case,-0.265403817828059,130.097011334087,0,0.064003479214832,0.265921875883765
Unadjusted,MNAR,Unweighted,5000,Imputed,-0.370343873838284,181.537068858076,0,0.093230840287866,0.371215771893529
Unadjusted,MNAR,Unweighted,5000,Imputed w/ PRS,-0.34790657049946,170.538635863912,0,0.085312842023562,0.348631787909367
Unadjusted,MNAR,Weighted,5000,Complete case,-0.139621794433207,68.4405308164412,0.2,0.155144451552015,0.149344094035234
Unadjusted,MNAR,Weighted,5000,Imputed,-0.173036037731255,84.8196968157876,0.2,0.162911118273837,0.183470473105477
Unadjusted,MNAR,Weighted,5000,Imputed w/ PRS,-0.151068889707542,74.0517269772002,0.16,0.158239314857921,0.161534662785317
Adjusted,MNAR,Unweighted,5000,Complete case,-0.292307355845772,150.041346551097,0,0.064819178502379,0.292814224395532
Adjusted,MNAR,Unweighted,5000,Imputed,-0.336072578470715,172.506032449112,0,0.103814606384406,0.337093971765623
Adjusted,MNAR,Unweighted,5000,Imputed w/ PRS,-0.311472274828865,159.878698205986,0,0.0921015057294462,0.312348842885531
Adjusted,MNAR,Weighted,5000,Complete case,-0.12660818629734,64.9879737082907,0.2,0.152189779729849,0.137673096388771
Adjusted,MNAR,Weighted,5000,Imputed,-0.125595588107339,64.4682071238905,0.2,0.144518181674945,0.135613587384991
Adjusted,MNAR,Weighted,5000,Imputed w/ PRS,-0.109871146147924,56.3968520992158,0.24,0.139715090517514,0.12007524817129
