raw_bias,per_bias,cov_rate,avg_wide,rmse
-0.169789500507106,84.948054851769,0,0.143310051485921,0.169789500507106
-0.171757552618109,85.9326987677784,0,0.150001596238236,0.171757552618109
-0.181087198291667,90.600450602008,0,0.127848306190179,0.181087198291667
-0.00683767737400709,3.42098534297498,1,0.255487978830117,0.00683767737400709
-0.0517530633313933,25.8927792913689,1,0.261142928747561,0.0517530633313933
-0.0644908163497781,32.2656547569443,1,0.248484459412371,0.0644908163497781
-0.132438117211494,69.9032760775019,0,0.141361715747044,0.132438117211494
-0.132923269635741,70.1593484573111,0,0.147980367867309,0.132923269635741
-0.144506685991504,76.2732888280016,0,0.124858132414008,0.144506685991504
0.00806588090866739,4.2573204137781,1,0.233661970939658,0.00806588090866739
-0.0193320617204014,10.2038180249156,1,0.234534782889292,0.0193320617204014
-0.0371973444626157,19.6334431058682,1,0.222587642903435,0.0371973444626157
-0.162675089446636,81.3886157863508,0,0.13715044383903,0.162675089446636
-0.17383533481159,86.9722421742593,0,0.264976534816056,0.17383533481159
-0.191684608254638,95.902482589454,0,0.189965211292847,0.191684608254638
-0.0147891700783702,7.39922802810149,1,0.237868166752069,0.0147891700783702
0.03330093849254,16.6609239159713,1,0.249710997413628,0.03330093849254
0.0135363530984277,6.77242622225644,1,0.255493978571688,0.0135363530984277
-0.169907404376678,89.6802555474862,0,0.135512925221743,0.169907404376678
-0.146181519020799,77.1572965298295,0,0.241628197201648,0.146181519020799
-0.15338502003705,80.9594369624017,0,0.159197302348258,0.15338502003705
0.00250624212309083,1.3228407254364,1,0.23569329154809,0.00250624212309083
0.0259770027157492,13.711140196936,1,0.22312342513241,0.0259770027157492
0.0181808675652976,9.59619655960501,1,0.221702659017944,0.0181808675652976
-0.265174168496241,132.670334404736,0,0.144964163592953,0.265174168496241
-0.402441785316424,201.347237323857,0,0.15484206774516,0.402441785316424
-0.399759125464934,200.005065189936,0,0.206970671278079,0.399759125464934
-0.100019158183166,50.0409796259208,1,0.254629554601013,0.100019158183166
-0.189995941910286,95.0576192685891,0,0.266284727131401,0.189995941910286
-0.19924509712369,99.6851006031487,0,0.275063964149775,0.19924509712369
-0.285522151102019,150.703847011459,0,0.149479388678085,0.285522151102019
-0.335192891900198,176.920978303385,0,0.166868439194519,0.335192891900198
-0.332080300022056,175.278095016039,0,0.248619612040708,0.332080300022056
-0.0682248884239626,36.0103519384911,1,0.256013704686431,0.0682248884239626
-0.0967682782258095,51.0760784794382,1,0.246504467558566,0.0967682782258095
-0.101290978960955,53.4632431776493,1,0.255850518175933,0.101290978960955
