adj,miss_data,weight,size,method,raw_bias,per_bias,cov_rate,avg_wide,rmse
Unadjusted,MCAR,Unweighted,2500,Complete case,-0.151422659898009,72.3812656348407,0,0.10146396390724,0.153807617502001
Unadjusted,MCAR,Unweighted,2500,Imputed,-0.151731846052326,72.5290591366941,0.001,0.112615277251424,0.154300434134049
Unadjusted,MCAR,Unweighted,2500,Imputed w/ PRS,-0.151155415939531,72.2535208444577,0.001,0.110888115806001,0.153577100792028
Unadjusted,MCAR,Weighted,2500,Complete case,-0.0103993187818673,4.97095913966059,0.861,0.205247562622942,0.0686169056886934
Unadjusted,MCAR,Weighted,2500,Imputed,-0.0686860988321249,32.8325150828653,0.648,0.210353609803252,0.0882077960436972
Unadjusted,MCAR,Weighted,2500,Imputed w/ PRS,-0.0658929697832124,31.4973766314743,0.675,0.209410322417478,0.0855082745738794
Adjusted,MCAR,Unweighted,2500,Complete case,-0.123662866796198,62.3823904561684,0.001,0.100553213935092,0.126427073776401
Adjusted,MCAR,Unweighted,2500,Imputed,-0.123954785646642,62.5296504719006,0.024,0.112593777062356,0.12698812696386
Adjusted,MCAR,Unweighted,2500,Imputed w/ PRS,-0.123360679911363,62.2299506759104,0.01,0.11047380087647,0.126216721469254
Adjusted,MCAR,Weighted,2500,Complete case,-0.0115624932557801,5.83276118058639,0.871,0.170589919792375,0.0551339137904211
Adjusted,MCAR,Weighted,2500,Imputed,-0.0590455896778307,29.7858615558991,0.699,0.184368339678917,0.075646997563343
Adjusted,MCAR,Weighted,2500,Imputed w/ PRS,-0.0569157038930514,28.7114293508612,0.72,0.183517266396787,0.0733843180084141
Unadjusted,MAR,Unweighted,2500,Complete case,-0.165652473304257,79.1832324262418,0,0.095875208155851,0.167481090878234
Unadjusted,MAR,Unweighted,2500,Imputed,-0.171313660230023,81.8893259195031,0,0.118696296235509,0.173562599414153
Unadjusted,MAR,Unweighted,2500,Imputed w/ PRS,-0.170077781628511,81.2985658746811,0.001,0.115753509527547,0.172378337702327
Unadjusted,MAR,Weighted,2500,Complete case,-0.0297203961461074,14.206591600445,0.778,0.202105285499067,0.073212841473513
Unadjusted,MAR,Weighted,2500,Imputed,-0.0394939520786014,18.8784309976879,0.753,0.191188004083181,0.0712990965889526
Unadjusted,MAR,Weighted,2500,Imputed w/ PRS,-0.0386285765373837,18.4647744355527,0.758,0.191125789644673,0.0711123518449556
Adjusted,MAR,Unweighted,2500,Complete case,-0.145933198799139,73.6167778077533,0,0.0955764852712093,0.147982004152894
Adjusted,MAR,Unweighted,2500,Imputed,-0.141481132852342,71.3709094769844,0.004,0.118696734528807,0.144148258720908
Adjusted,MAR,Unweighted,2500,Imputed w/ PRS,-0.140436074043874,70.843724006289,0.006,0.114672921438922,0.143125573705701
Adjusted,MAR,Weighted,2500,Complete case,-0.0243062531614008,12.2614186014294,0.806,0.17381702252769,0.0614848717054648
Adjusted,MAR,Weighted,2500,Imputed,-0.0395412707174825,19.9468041857403,0.768,0.162710835557086,0.0627433385087074
Adjusted,MAR,Weighted,2500,Imputed w/ PRS,-0.0386015693389643,19.4727668305856,0.749,0.162370379800695,0.0624620409786494
Unadjusted,MNAR,Unweighted,2500,Complete case,-0.222232428500927,106.228912177582,0,0.0995718140385597,0.223598341730575
Unadjusted,MNAR,Unweighted,2500,Imputed,-0.230201423829445,110.038156897657,0,0.120362659478976,0.231927022259389
Unadjusted,MNAR,Unweighted,2500,Imputed w/ PRS,-0.225831534555738,107.949314207084,0,0.11554312250531,0.227391651462574
Unadjusted,MNAR,Weighted,2500,Complete case,-0.0876675422506414,41.9057997493329,0.466,0.211388083961488,0.111918940495525
Unadjusted,MNAR,Weighted,2500,Imputed,-0.117347126663286,56.0928830085378,0.289,0.18939784380205,0.132396026884053
Unadjusted,MNAR,Weighted,2500,Imputed w/ PRS,-0.111629817908646,53.3599628236411,0.295,0.187306568094177,0.127104826544755
Adjusted,MNAR,Unweighted,2500,Complete case,-0.22195680777343,111.967291440412,0,0.099485710306077,0.223309008867234
Adjusted,MNAR,Unweighted,2500,Imputed,-0.225950335460784,113.981847708954,0,0.122980801631365,0.227747179659903
Adjusted,MNAR,Unweighted,2500,Imputed w/ PRS,-0.219663211425808,110.810274571784,0,0.117999824230959,0.221313957296548
Adjusted,MNAR,Weighted,2500,Complete case,-0.0803318702449001,40.5238389301652,0.477,0.187537255561902,0.101220815097825
Adjusted,MNAR,Weighted,2500,Imputed,-0.10113061627651,51.0158769166439,0.324,0.16850447009593,0.114420973706325
Adjusted,MNAR,Weighted,2500,Imputed w/ PRS,-0.0965072922419486,48.6836165332202,0.333,0.165875085960658,0.110010533057246
