adj,miss_data,weight,size,method,raw_bias,per_bias,cov_rate,avg_wide,rmse
Unadjusted,MCAR,Unweighted,1000,Complete case,-0.154922394253063,73.8930541250193,0,0.139098864624011,0.158175582690814
Unadjusted,MCAR,Unweighted,1000,Imputed,-0.156379634279684,74.5881112643014,0,0.144912018982603,0.160042394227143
Unadjusted,MCAR,Unweighted,1000,Imputed w/ PRS,-0.155821181407962,74.3217470083436,0,0.143725751409265,0.15931321535822
Unadjusted,MCAR,Weighted,1000,Complete case,-0.0106880354548823,5.0978529357587,0.86,0.277502580470642,0.102052978421127
Unadjusted,MCAR,Weighted,1000,Imputed,-0.0485700490254764,23.1663684181889,0.8,0.286997781184237,0.106463349956952
Unadjusted,MCAR,Weighted,1000,Imputed w/ PRS,-0.0434316947826013,20.7155368904882,0.88,0.283818761635389,0.0987974781249964
Adjusted,MCAR,Unweighted,1000,Complete case,-0.125814388923421,63.3158857517887,0.02,0.137779814972576,0.129834615761306
Adjusted,MCAR,Unweighted,1000,Imputed,-0.127665080348715,64.2472431891087,0.02,0.143945943454993,0.132027955357561
Adjusted,MCAR,Unweighted,1000,Imputed w/ PRS,-0.126921054916587,63.8728136054965,0.02,0.142497312744159,0.131241688079737
Adjusted,MCAR,Weighted,1000,Complete case,-0.01441507817604,7.25436455008962,0.88,0.231204481105532,0.0792748069104974
Adjusted,MCAR,Weighted,1000,Imputed,-0.0410995849806825,20.6832990196911,0.8,0.240495312040019,0.0856367025604882
Adjusted,MCAR,Weighted,1000,Imputed w/ PRS,-0.038040242819637,19.1436900735133,0.84,0.23475942979906,0.0809272739200749
Unadjusted,MAR,Unweighted,1000,Complete case,-0.165520368091134,78.9479505343335,0,0.133280213027647,0.168123953546977
Unadjusted,MAR,Unweighted,1000,Imputed,-0.169595114963243,80.8914751785152,0.02,0.155008773586924,0.173353250613133
Unadjusted,MAR,Unweighted,1000,Imputed w/ PRS,-0.169684935537727,80.9343167354373,0,0.150869339050049,0.172956400145445
Unadjusted,MAR,Weighted,1000,Complete case,-0.0400507191511299,19.1029190598885,0.78,0.263246413385394,0.0971246439654612
Unadjusted,MAR,Weighted,1000,Imputed,-0.0211898566616391,10.1068875984593,0.86,0.263523307985326,0.0903159192960442
Unadjusted,MAR,Weighted,1000,Imputed w/ PRS,-0.0196760043564775,9.38482820309605,0.84,0.258936876597628,0.0873239417488752
Adjusted,MAR,Unweighted,1000,Complete case,-0.145750769827329,73.3488368825559,0,0.132752060612982,0.149192291967697
Adjusted,MAR,Unweighted,1000,Imputed,-0.139677536105288,70.2924919304473,0.04,0.151410517422373,0.144419743696566
Adjusted,MAR,Unweighted,1000,Imputed w/ PRS,-0.139659856609631,70.2835947531316,0.02,0.148462845046728,0.143747659873256
Adjusted,MAR,Weighted,1000,Complete case,-0.0379239463247866,19.0851640524096,0.78,0.22762660706189,0.0810935755180424
Adjusted,MAR,Weighted,1000,Imputed,-0.0234119546825643,11.7820279587381,0.84,0.222578955704131,0.0747380443559457
Adjusted,MAR,Weighted,1000,Imputed w/ PRS,-0.0218878130688667,11.0150061807986,0.86,0.218835761953886,0.0719225764379635
Unadjusted,MNAR,Unweighted,1000,Complete case,-0.240757087454801,114.833472462474,0,0.137694142712547,0.242812325949195
Unadjusted,MNAR,Unweighted,1000,Imputed,-0.266604478082728,127.161855611137,0,0.166043707607188,0.269361265726341
Unadjusted,MNAR,Unweighted,1000,Imputed w/ PRS,-0.254913970953248,121.585855574263,0,0.161423738829855,0.258010095450719
Unadjusted,MNAR,Weighted,1000,Complete case,-0.0954950798977685,45.5481155037685,0.5,0.286258615310326,0.134985763984417
Unadjusted,MNAR,Weighted,1000,Imputed,-0.0970683960615151,46.2985372681881,0.54,0.285838230608479,0.13607442379847
Unadjusted,MNAR,Weighted,1000,Imputed w/ PRS,-0.0874680698915233,41.7194870623266,0.58,0.282232707456948,0.130309849668179
Adjusted,MNAR,Unweighted,1000,Complete case,-0.22334498915406,112.398001035639,0,0.139021995547314,0.225722522525201
Adjusted,MNAR,Unweighted,1000,Imputed,-0.227348747461187,114.412885864958,0,0.169215246935867,0.230692655739981
Adjusted,MNAR,Unweighted,1000,Imputed w/ PRS,-0.216470210742827,108.938280027739,0,0.162794824507505,0.220191221957811
Adjusted,MNAR,Weighted,1000,Complete case,-0.0860208539556201,43.2898542681032,0.58,0.246989001463722,0.11375175217373
Adjusted,MNAR,Weighted,1000,Imputed,-0.0781698533654912,39.338851042992,0.62,0.240372232677341,0.107623383573483
Adjusted,MNAR,Weighted,1000,Imputed w/ PRS,-0.0712481814357713,35.8555309484974,0.64,0.237415802760375,0.103368860717485
